Practice Id,MID,Date,Dba (Dim Mid),Fee Category,Rate Percent,Rate Amount,MOP___,Total Fees
1234,7205989,12/14/2015,Clinic 1,Interchange,0.0185,$0.10 ,AmEx,$484.49
1234,7205989,12/15/2015,Clinic 1,Interchange,0.0155,$0.10 ,AmEx,$279.45
1234,7205989,12/16/2015,Clinic 1,Interchange,0.023,$0.10 ,AmEx,$254.02
1234,7205989,12/17/2015,Clinic 1,Interchange,0.017,$0.10 ,AmEx,$1.46
1234,7205989,12/18/2015,Clinic 1,Interchange,0.0135,$0.10 ,AmEx,$0.37
1234,7205989,12/19/2015,Clinic 1,Interchange,0,$0.00 ,AmEx,$0.00
1234,7205989,12/20/2015,Clinic 1,Interchange,0.0203,$0.10 ,AmEx,$374.53
1234,7205989,12/21/2015,Clinic 1,Interchange,0.0172,$0.10 ,AmEx,$171.92
1234,7205989,12/22/2015,Clinic 1,Interchange,0.0245,$0.15 ,AmEx,$145.81
1234,7205989,12/23/2015,Clinic 1,Interchange,0.0205,$0.10 ,AmEx,$89.38
1234,7205989,12/24/2015,Clinic 1,Interchange,0.0203,$0.10 ,AmEx,$37.33
1234,7205989,12/25/2015,Clinic 1,Interchange,0.0174,$0.10 ,AmEx,$24.88
1234,7205989,12/26/2015,Clinic 1,Interchange,0.0205,$0.10 ,AmEx,$13.83
1234,7205989,12/27/2015,Clinic 1,Interchange,0.0175,$0.20 ,AmEx,$5.45
1234,7205989,12/28/2015,Clinic 1,Interchange,0.0255,$0.10 ,AmEx,$7.59
1234,7205989,12/29/2015,Clinic 1,Interchange,0.0225,$0.10 ,AmEx,$5.58
1234,7205989,12/30/2015,Clinic 1,Interchange,0.0305,$0.10 ,AmEx,$7.40
1234,7205989,12/31/2015,Clinic 1,Interchange,0.011,$0.16 ,AmEx,$1.97
1234,7205989,1/1/2016,Clinic 1,Interchange,0.0305,$0.10 ,AmEx,$2.85
1234,7205989,1/2/2016,Clinic 1,Interchange,0.0176,$0.20 ,AmEx,$0.89
1234,7205989,1/3/2016,Clinic 1,Interchange,0.0175,$0.20 ,AmEx,$0.55
1234,7205989,1/4/2016,Clinic 1,Interchange,0.0225,$0.00 ,AmEx,-$1.24
1234,7205989,1/5/2016,Clinic 1,Interchange,0.0175,$0.00 ,AmEx,-$4.63
1234,7205989,1/6/2016,Clinic 1,Interchange,0.0175,$0.00 ,AmEx,-$7.02
1234,7205989,1/7/2016,Clinic 1,Interchange,0.0176,$0.20 ,AmEx,"$1,808.64"
1234,7205989,1/8/2016,Clinic 1,Interchange,0.0005,$0.22 ,AmEx,$225.35
1234,7205989,1/9/2016,Clinic 1,Interchange,0.026,$0.10 ,AmEx,"$1,653.91"
1234,7205989,1/10/2016,Clinic 1,Interchange,0.0165,$0.15 ,AmEx,$897.53
1234,7205989,1/11/2016,Clinic 1,Interchange,0.0115,$0.15 ,AmEx,$398.69
1234,7205989,1/12/2016,Clinic 1,Interchange,0.0105,$0.15 ,AmEx,$340.13
1234,7205989,1/13/2016,Clinic 1,Interchange,0.022,$0.10 ,AmEx,$381.17
1234,7205989,1/14/2016,Clinic 1,Interchange,0.021,$0.10 ,AmEx,$329.64
1234,7205989,1/15/2016,Clinic 1,Interchange,0.023,$0.10 ,AmEx,$334.53
1234,7205989,1/16/2016,Clinic 1,Interchange,0.026,$0.10 ,AmEx,$312.11
1234,7205989,1/17/2016,Clinic 1,Interchange,0.023,$0.10 ,AmEx,$233.37
1234,7205989,1/18/2016,Clinic 1,Interchange,0.018,$0.10 ,AmEx,$180.09
1234,7205989,1/19/2016,Clinic 1,Interchange,0.019,$0.10 ,AmEx,$108.56
1234,7205989,1/20/2016,Clinic 1,Interchange,0.0195,$0.10 ,AmEx,$38.57
1234,7205989,1/21/2016,Clinic 1,Interchange,0.0165,$0.10 ,AmEx,$14.67
1234,7205989,1/22/2016,Clinic 1,Interchange,0.0265,$0.10 ,AmEx,$22.62
1234,7205989,1/23/2016,Clinic 1,Interchange,0.022,$0.10 ,AmEx,$10.86
1234,7205989,1/24/2016,Clinic 1,Interchange,0.019,$0.10 ,AmEx,$8.41
1234,7205989,1/25/2016,Clinic 1,Interchange,0.021,$0.10 ,AmEx,$8.74
1234,7205989,1/26/2016,Clinic 1,Interchange,0.0225,$0.10 ,AmEx,$5.73
1234,7205989,1/27/2016,Clinic 1,Interchange,0.021,$0.10 ,AmEx,$3.67
1234,7205989,1/28/2016,Clinic 1,Interchange,0.019,$0.10 ,AmEx,$1.54
